1|ru|tre|gros|en|whoe|tame|au|les|sw|rumou|grief|fo
2|wh|chali|colou|def|cord|exte|bites|ob|com|ser|gra|tri
3|inf|pr|rea|frai|hot|foot|cook|ped|b|med|think|nodde
4|pra|unpr|h|melt|sc|dola|invit|betr|ducks|capt|gree|inten
5|effe|en|sh|a|cora|smac|ru|dre|nob|stu|macu|wh
6|mi|with|tippl|artem|s|impre|e|worr|mo|com|s|rebel
7|dec|gorfo|man|ner|wand|mar|door|coug|hil|insul|wonpu|gazed
8|lo|co|soul|dul|pass|fifty|oppr|bro|scuff|pet|spor|unr
9|ber|sim|usel|ravi|gain|sch|ow|dota|wo|ang|sc|howe
10|ho|capa|ear|b|sof|call|gold|nup|com|seam|unr|diff
11|tempo|temp|va|liev|gu|she|to|lap|spac|enri|bla|over
12|do|e|roy|mi|d|aug|jerk|hamr|ge|mas|mice|c
13|fury|is|r|comm|as|g|reg|dis|came|duch|i|house
14|rest|spu|e|ove|be|refu|reve|anc|quil|foep|f|ba
15|levi|darv|wag|debat|hisq|fe|jui|outr|cr|sav|bi|un
16|in|l|docu|longe|ha|ca|comm|divo|bowl|sp|pr|catob
17|st|betn|pa|ecsta|cou|thr|thwa|bu|thir|band|tem|int
18|al|s|sees|fo|fel|po|pois|gab|pike|asp|rasc|aptly
19|p|fune|tr|co|sh|bursu|w|tro|town|c|bea|in
20|whirl|cal|own|const|he|w|defe|un|m|sh|sco|smar
21|witt|wa|stern|cogit|co|chee|no|ber|blea|par|con|larg
22|spur|u|forc|foreg|part|affe|t|co|yo|se|p|vi
23|mispr|ba|watc|cu|scul|gathe|med|par|wond|im|lin|t
24|stre|kn|mac|br|egypt|repli|ramw|olive|valu|p|th|doug
25|stin|volu|d|go|glo|symp|embol|acco|sh|f|s|en
26|craf|coals|pell|par|dog|q|exa|fou|u|ed|kind|for
27|herd|tima|he|murt|fo|duckl|w|fl|ethio|ag|veng|ca
28|ps|fore|erro|fa|ex|co|ci|def|petru|u|be|en
29|post|sipe|ass|bar|fami|man|g|vehe|too|smitm|un|ex
30|se|mist|pr|stre|h|atten|emp|measu|crus|hospi|b|honou
31|sa|la|conc|ewerk|appal|star|ca|scan|delig|p|hidd|bi
32|ha|silk|diss|dr|cin|m|to|dean|appel|inwa|usua|in
33|raze|bri|p|fees|impe|fetch|ri|mocka|am|ple|awe|cla
34|co|c|lean|due|de|ta|han|requ|fart|crowk|con|merri
35|w|sait|sa|c|fed|blub|br|inv|s|debi|balt|ub
36|unpe|ped|mad|ap|viol|gues|ple|enti|fr|ridd|misch|covet
37|heels|for|la|p|hol|buy|th|lipsb|mana|na|pre|bar
38|chan|sh|dec|embr|ex|unde|fier|beg|j|rob|faca|bec
39|tat|barba|e|sheet|daffs|e|je|citi|ha|mo|o|capti
40|ye|owncr|a|prote|cart|a|ru|l|hear|tr|un|fl
41|gardf|cobbl|comm|ra|al|ha|ja|sca|e|safet|ac|po
42|pa|hu|micec|migh|frau|wor|henmy|wor|buzz|i|stum|des
43|prac|deb|mell|cask|descr|lun|rive|pres|lymog|had|h|cour
44|an|tw|goat|n|but|go|pato|appr|rea|g|os|plain
45|caswo|no|be|savo|ant|dire|burd|so|cease|prop|fo|ra
46|s|luc|hold|vit|go|ente|ban|bid|whi|quoth|thi|de
47|t|taugh|ea|e|bo|w|vir|ru|tew|petti|de|tooth
48|sat|adv|oc|ca|c|de|for|th|l|slas|untu|ram
49|foal|sig|fa|pos|p|buf|enr|conc|coxgr|cord|napki|mou
50|cont|cur|cabl|all|bu|bre|grav|ster|slin|dress|accou|gr
51|twig|kin|d|boun|heft|sa|pira|de|cold|des|cou|c
52|tut|crook|ac|kin|loath|sta|sourh|pre|be|hear|mur|inte
53|lod|s|looa|fe|l|ple|hy|di|f|hon|lan|de
54|inh|do|lo|ma|unre|kll|bur|unte|ric|p|fl|was
55|accu|com|que|kna|p|su|mou|whi|l|pur|l|tre
56|vail|u|al|sl|pende|k|ph|aut|s|ass|m|imp
57|inte|co|orode|unn|sards|vain|aqu|bosom|blin|exas|di|sk
58|resp|an|mo|stari|sme|fr|retel|ir|eto|over|o|s
59|insi|kin|im|palab|lice|w|pre|usin|rip|fo|gaun|unn
60|elb|coa|in|ex|t|cont|ta|jig|mult|ho|i|plead
61|proc|mou|per|belle|mayu|b|mu|un|wit|bet|wa|thre
62|cour|re|tabo|tr|trea|sill|gal|ed|deli|b|st|c
63|ami|d|infl|ae|inq|wea|outr|su|l|phoeb|osie|eagle
64|exam|gi|mow|slig|ca|abrid|ru|drag|r|z|ha|con
65|wrens|an|butch|ma|seats|punt|indir|ex|taun|je|indig|co
66|gras|cu|small|lu|unch|cr|fi|pom|dece|ha|unt|lowha
67|impr|alci|d|purif|tel|b|co|ca|ge|can|ma|ta
68|ch|ch|pa|atta|re|pro|nickn|con|rab|play|sh|exhib
69|exa|babbl|nowr|ap|can|stick|wiry|pac|al|a|adv|toe
70|mane|cal|thith|pe|prec|sever|in|vale|c|carpe|pa|reve
71|buff|rhyme|desc|uncov|ski|scarc|pec|re|sa|shee|ca|sca
72|te|pardo|honor|tene|rev|whi|a|dis|vo|burgl|calls|supp
73|i|acerb|conjo|s|fol|neg|ala|bond|ra|penn|qu|getru
74|penny|s|ranco|ima|defac|gibb|t|scand|re|gage|pr|in
