1|sma|ring|unpe|obli|el|spar|north|dat|vagab|anch
2|quan|halt|bem|must|low|v|wood|dorc|meek|c
3|sa|ma|b|fire|won|pro|suppo|cha|un|b
4|were|deo|erosf|pou|co|gentl|shrou|tru|palat|bacc
5|savou|wond|thi|duel|narr|sca|de|gaze|p|p
6|hers|l|sp|lew|u|uncon|co|six|ga|tann
7|uns|wh|acti|sha|tymbr|rec|sca|un|admi|foi
8|ho|v|tum|hamm|trim|dor|whin|want|bi|trim
9|trave|lear|v|leg|ro|sprin|spir|sa|note|ba
10|fraug|gu|ab|pawne|pill|conde|temp|flo|tend|rankl
11|gule|curb|villi|al|sp|pin|pr|jaw|debau|yiel
12|nec|bea|com|regio|res|gul|ph|se|cand|sed
13|quitt|me|ches|ex|ri|cr|sage|re|fur|t
14|p|hun|unbi|jo|pla|hair|be|fat|wink|conv
15|met|mo|h|un|dil|conj|bar|ma|fee|al
16|oppos|chas|is|ta|sai|peri|vot|bane|fra|si
17|gor|unfru|mel|bra|t|tweak|fulv|ex|refu|se
18|q|s|d|mort|r|b|a|me|af|hon
19|s|te|gr|ho|decli|euro|tru|dist|trans|s
20|m|hox|percy|a|eros|princ|right|det|unusu|caph
21|gr|bul|shoo|loa|f|undo|ath|to|r|rep
22|r|subs|me|con|ca|yout|court|coac|sed|sw
23|pa|sto|isbel|disp|caute|ch|foll|han|dis|dot
24|perp|wa|resc|gu|oily|pr|ha|outr|ta|henc
25|mete|lan|yea|injun|bap|capil|quad|di|hunt|nece
26|cover|b|pr|unbu|cu|su|sever|fr|e|cit
27|fast|billi|nigh|u|lan|sa|gui|no|un|disco
28|app|wi|unbe|r|ocu|spu|sc|tro|u|ber
29|sh|ca|expe|plac|pr|forth|c|ou|pu|fus
30|tull|arn|pe|a|ere|p|for|judg|rot|r
31|en|ex|dis|dimmi|soun|pos|fee|a|sli|a
32|pau|b|re|powd|eati|bo|celi|pro|pro|blo
33|de|dou|emine|priva|s|sepa|ink|unc|eggs|bocch
34|stra|oppo|u|easto|pat|crown|a|su|d|cogs
35|des|nece|fore|ma|se|r|clou|st|pea|l
36|unge|mome|co|ve|mi|buil|endin|sm|en|adul
37|lady|fact|m|we|brow|bol|cobha|com|qual|comp
38|scra|spect|grat|unhop|publi|pare|gra|fran|guid|unf
39|be|enca|rash|snail|trans|sing|gain|che|c|inc
40|royal|un|vi|aff|re|e|anyth|fa|per|bind
41|prige|p|unsh|cou|chaf|asses|now|tr|bo|shipw
42|fin|obscu|win|draw|rel|re|disu|tee|ba|fal
43|mi|tru|ante|forth|capar|overl|spe|enj|eag|bo
44|prese|g|co|figh|lu|ple|ge|n|circa|la
45|spak|ope|k|ma|se|ge|l|stric|di|fo
46|oc|reco|shor|ceter|sink|baili|disco|dispu|so|pal
47|rowl|st|arr|lik|das|m|cann|qua|suc|wo
48|fe|adul|ty|har|aspic|en|cures|inkh|v|se
49|task|sq|blazo|g|fas|a|run|a|hai|t
50|bo|mu|pr|won|gen|pa|squ|l|long|parl
51|l|ni|regar|frid|habi|i|ursf|cl|pur|tins
52|musi|i|ban|rev|im|fi|sport|swo|f|of
53|adv|d|g|greg|monu|h|p|de|cun|sa
54|goi|undo|re|s|fle|cont|supe|mas|bully|char
55|dept|con|thi|req|all|obse|de|b|foals|d
