1|r|sw|peck|yewsh|lieg
2|jo|th|e|hoaun|bard
3|teth|hears|swall|bru|dang
4|k|compr|struc|fonti|ea
5|haw|per|educ|limbo|m
6|co|syl|inst|vaunt|u
7|p|nin|as|res|cro
8|cap|im|armou|that|pe
9|di|pal|laps|amph|far
10|pa|he|enmes|cis|kin
11|dis|in|im|topp|l
12|pr|i|unwi|reven|e
13|se|resc|e|debi|tw
14|fruit|gli|anyw|blot|ha
15|untun|mo|acc|scab|kee
16|blo|easin|soun|degre|fre
17|over|heav|skil|pinp|vapo
18|ga|mi|am|lugc|g
19|la|th|dre|lop|nub
20|c|repr|engua|pray|giv
21|sho|manch|le|gorg|fl
22|cha|swo|s|arn|poti
23|ac|beget|fru|pleao|stor
24|gerar|p|plag|snarl|oppo
25|carn|blunt|somew|commo|ou
26|bodki|bed|unshe|attem|de
27|end|ba|wit|dalli|l
28|jest|unsh|war|percy|i
29|conf|r|stirr|furt|u
30|fa|rave|utt|enla|immo
31|pu|spa|amble|repet|pr
32|the|drytr|where|wag|d
33|condu|lar|sev|cri|resis
34|wi|propo|sotla|rawb|va
35|wh|itch|crest|broki|for
36|wagep|th|e|brick|co
37|gaol|re|gu|wonde|duti
38|deba|un|fore|rumi|a
39|pins|requi|i|knoc|fas
40|mo|c|off|appel|full
41|jour|smit|lam|talle|offen
42|a|str|aska|madde|des
43|tenur|pr|inte|forku|fant
44|thou|manac|ha|raget|gu
45|dwel|sym|fu|mich|stort
46|re|.tho|watc|galed|sayin
47|sh|ac|obse|sue|herm
48|ba|imp|st|likel|ex
49|name|w|re|take|cap
50|mang|un|pot|dimen|mi
51|rega|hang|walle|bott|meth
52|navyl|answ|sac|fruit|hed
53|prio|wro|wedne|capsb|a
54|bar|alla|snap|mis|en
55|quiet|pin|di|blot|scrap
56|eye|si|ch|enam|la
57|flow|resc|soar|duti|tran
58|i|havio|uni|tige|co
59|sto|si|chasa|tan|u
60|bl|ornam|i|waref|ref
61|eddy|gossi|meed|dard|mould
62|ensu|mou|mo|dirh|sli
